,month,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FELONY,MISDEMEANOR,VIOLATION,restaurants,bar,park,subway_station
24,1,36005005100,5653,18633.0,2086.0,10602.0,1444.0,49.399999999999984,70.10000000000001,15.5,52.899999999999984,17.300000000000004,6.4,7.900000000000001,0.5,43.600000000000016,1631,77.89999999999998,19.0,2.7,0.4,22.6,3,8,2,160.0,37.0,65.0,15.0
25,1,36005005200,2277,17756.0,3843.0,15123.0,4609.0,49.3,57.8,23.1,29.6,22.3,13.2,11.7,9.0,43.2,749,81.6,9.6,8.8,0.0,13.5,0,1,0,100.0,6.0,31.0,6.0
26,1,36005005300,3727,17719.0,4121.0,10031.0,1557.0,54.7,70.0,17.2,38.0,20.8,10.6,13.4,0.0,56.8,990,85.1,14.9,0.0,0.0,23.7,0,2,2,20.0,1.0,6.0,0.0
27,1,36005005400,6219,27380.0,6078.0,14711.0,2106.0,41.7,55.8,11.9,32.300000000000004,22.3,18.8,14.7,3.9,41.3,2600,81.5,7.2,11.3,0.0,8.9,1,3,2,40.0,6.0,5.0,3.0
28,1,36005005600,2468,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8,0,5,1,40.0,3.0,9.0,3.0
29,1,36005006000,1256,41190.0,4642.0,15989.0,2949.0,35.2,46.8,20.7,39.8,21.3,2.9,15.3,4.7,40.4,522,75.1,18.4,6.5,0.0,11.1,0,0,1,100.0,0.0,26.0,6.0
30,1,36005006100,3706,48298.0,9993.0,31379.0,3023.0,9.8,7.7,35.0,30.0,27.899999999999995,1.7,5.400000000000001,0.0,37.5,1581,61.0,37.6,1.3999999999999997,0.0,7.8,1,1,1,60.0,13.0,21.0,1.0
31,1,36005006200,7610,24480.0,5909.0,12152.0,1646.0,34.7,55.0,14.5,36.2,21.3,21.0,7.0,7.1000000000000005,41.6,2749,75.60000000000002,12.5,12.0,0.0,11.400000000000002,5,2,1,80.0,3.0,13.0,3.0
32,1,36005006300,4431,32064.0,4061.0,19243.0,2473.0,27.7,45.0,19.899999999999995,25.89999999999999,33.39999999999999,5.400000000000002,15.5,0.0,41.39999999999999,2032,80.0,13.900000000000002,6.099999999999998,0.0,12.800000000000002,7,13,0,320.0,104.0,103.0,25.0
33,1,36005006400,3590,30726.0,8555.0,15846.0,3083.0,41.1,63.9,25.399999999999995,18.7,40.5,9.9,5.5,2.1,46.70000000000001,1459,79.4,13.0,7.5,0.0,12.199999999999998,0,3,0,60.0,5.0,7.0,4.0
34,1,36005006500,5487,21384.0,5108.0,11967.0,1760.0,44.20000000000001,63.29999999999998,10.5,44.100000000000016,30.300000000000008,4.1000000000000005,11.099999999999996,5.1,35.89999999999999,2168,85.20000000000002,10.699999999999998,4.1000000000000005,0.0,11.599999999999996,8,9,0,80.0,14.0,24.0,5.0
35,1,36005006700,7421,21016.0,4709.0,13243.0,6074.0,47.10000000000001,67.10000000000001,12.900000000000002,35.4,26.300000000000004,6.1000000000000005,19.3,5.700000000000001,46.2,2413,81.8,9.9,8.299999999999999,0.0,14.599999999999998,2,7,0,60.0,1.0,45.0,2.0
36,1,36005006800,3288,47232.0,11781.0,17178.0,2623.0,22.5,33.9,16.1,40.2,22.0,14.699999999999998,6.900000000000001,1.1,42.9,1370,84.2,12.6,3.2999999999999994,0.0,12.5,2,1,0,60.0,9.0,6.0,3.0
37,1,36005006900,8554,19741.0,7359.0,12111.0,1804.0,44.0,48.5,18.0,37.7,25.6,5.2,13.5,4.9,38.3,2617,80.0,14.6,5.4,0.0,16.7,2,2,1,40.0,6.0,40.0,0.0
38,1,36005007000,4568,34191.0,7201.0,14602.0,1614.0,30.1,55.3,16.400000000000002,34.300000000000004,22.6,14.1,12.6,4.0,45.4,1877,84.8,12.6,2.6,0.0,11.8,1,5,0,40.0,11.0,6.0,3.0
39,1,36005007100,2547,38289.0,6810.0,18245.0,3123.0,28.800000000000008,37.8,26.699999999999992,23.399999999999995,27.60000000000001,14.400000000000004,7.799999999999998,1.3999999999999997,44.399999999999984,1011,78.20000000000002,19.800000000000004,2.0,0.0,16.5,7,7,3,100.0,8.0,63.0,5.0
40,1,36005007200,5822,37634.0,8074.0,14985.0,2146.0,33.4,48.0,19.9,30.899999999999995,26.7,12.0,10.6,2.3,42.2,2307,84.8,9.3,5.900000000000001,0.0,7.400000000000001,2,1,0,80.0,28.0,20.0,6.0
41,1,36005007300,3761,18358.0,5706.0,9872.0,1662.0,50.7,60.0,10.1,47.9,26.3,4.8,10.9,12.0,46.2,1127,91.2,5.3,3.5,0.0,20.2,1,4,1,20.0,0.0,7.0,1.0
42,1,36005007400,3635,44455.0,7777.0,22275.0,2702.0,19.3,40.6,33.9,30.7,23.1,2.8,9.6,2.7,45.4,1630,74.7,23.9,1.5,0.0,7.1,0,1,0,60.0,0.0,6.0,0.0
43,1,36005007500,5599,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,2,2,0,60.0,5.0,40.0,3.0
44,1,36005007600,5587,33465.0,6930.0,15194.0,1990.0,34.60000000000001,50.3,14.400000000000002,29.800000000000004,24.1,15.0,16.699999999999996,2.3000000000000003,39.39999999999999,2316,87.39999999999998,7.9,3.5,1.1999999999999995,9.400000000000002,5,4,1,60.0,20.0,11.0,4.0
45,1,36005007700,1933,26486.0,7002.0,13724.0,2428.0,37.8,52.5,20.3,27.9,31.4,10.4,9.9,3.1000000000000005,40.2,684,79.10000000000002,12.099999999999998,7.899999999999999,0.9000000000000001,13.599999999999998,1,5,1,40.0,5.0,16.0,3.0
46,1,36005007800,6518,30437.0,12004.0,14343.0,1891.0,31.0,40.89999999999999,18.800000000000004,31.600000000000005,33.5,4.700000000000001,11.400000000000004,3.100000000000001,37.60000000000001,2415,86.0,7.299999999999998,6.700000000000002,0.0,15.699999999999998,2,8,2,120.0,21.0,17.0,1.0
47,1,36005007900,6420,24278.0,9630.0,13513.0,2921.0,44.7,63.0,12.2,35.8,25.7,5.3,21.0,4.1,41.1,2204,80.3,9.2,10.5,0.0,14.4,1,2,2,60.0,8.0,20.0,5.0
48,1,36005008300,6882,19818.0,8210.0,11959.0,1709.0,41.9,55.1,18.1,40.4,26.2,5.400000000000001,9.9,3.5,42.1,2354,89.8,4.6,5.3,0.3,14.1,3,0,0,80.0,17.0,18.0,6.0
49,1,36005008400,2289,60135.0,8334.0,23698.0,4110.0,13.6,23.7,27.3,27.9,28.7,6.5,9.5,0.0,41.8,1039,79.2,17.7,3.1,0.0,10.2,0,1,0,60.0,0.0,6.0,0.0
50,1,36005008500,5959,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.400000000000002,36.2,27.800000000000004,7.799999999999999,12.8,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.099999999999998,4,2,2,40.0,5.0,9.0,3.0
51,1,36005008600,3874,23045.0,6048.0,12513.0,1714.0,39.1,49.1,17.3,42.9,18.4,7.0,14.4,0.6,46.2,1295,82.8,13.1,4.1,0.0,9.4,1,2,2,60.0,0.0,7.0,0.0
52,1,36005008700,6002,29188.0,5168.0,14050.0,1567.0,30.39999999999999,36.2,16.1,39.0,25.699999999999992,7.099999999999998,12.099999999999996,6.0,44.5,2236,80.59999999999998,15.199999999999996,4.200000000000001,0.0,8.3,7,9,3,80.0,13.0,25.0,10.0
53,1,36005008900,3438,20849.0,7996.0,11550.0,1928.0,32.5,26.800000000000008,15.900000000000004,41.7,21.1,7.400000000000001,13.900000000000004,4.1000000000000005,44.3,1162,83.39999999999998,11.3,5.299999999999999,0.0,6.5,8,6,0,20.0,3.0,5.0,3.0
54,1,36005009000,3476,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,4.4,43.8,1075,78.5,17.599999999999994,3.9,0.0,14.6,2,2,2,487.0,8.0,23.0,0.0
55,1,36005009200,5622,35227.0,8725.0,18825.0,2909.0,21.3,28.2,24.3,29.600000000000005,26.5,5.900000000000001,13.699999999999998,0.4000000000000001,48.4,2235,77.0,16.8,6.099999999999999,0.0,18.6,2,0,1,80.0,23.0,13.0,5.0
56,1,36005009300,6517,30159.0,4279.0,11783.0,1621.0,40.7,49.70000000000001,16.5,34.10000000000001,22.0,14.400000000000004,13.0,3.899999999999999,40.10000000000001,2021,87.20000000000003,6.700000000000002,6.099999999999999,0.0,9.5,4,11,1,973.0,28.0,70.0,9.0
57,1,36005009600,2562,41250.0,7688.0,17217.0,2647.0,15.6,10.6,19.7,40.3,21.2,3.4,15.2,3.7,38.0,932,70.9,19.8,9.2,0.0,17.1,1,4,0,220.0,11.0,30.0,11.0
58,1,36005009800,5041,57438.0,12832.0,24276.0,3162.0,23.300000000000004,41.2,34.9,21.3,24.6,8.1,11.099999999999998,0.0,48.3,2290,69.10000000000001,25.9,4.9,0.0,12.7,4,3,0,140.0,9.0,6.0,0.0
59,1,36005011502,4566,21765.0,5551.0,10986.0,2596.0,47.600000000000016,56.70000000000001,13.699999999999998,39.8,18.4,10.400000000000002,17.699999999999996,2.7,40.5,1332,84.60000000000002,7.0,8.400000000000002,0.0,18.5,4,7,2,100.0,6.0,28.0,2.0
60,1,36005011700,1603,25483.0,7151.0,14854.0,2448.0,33.4,42.2,13.0,37.2,24.3,9.2,16.3,5.599999999999999,38.3,608,87.7,10.5,1.8,0.0,16.8,2,1,0,484.0,12.0,36.0,0.0
61,1,36005011900,5603,22097.0,5308.0,13201.0,4619.0,39.29999999999999,46.29999999999998,18.600000000000005,48.29999999999998,18.300000000000004,4.4,10.300000000000002,7.0,44.29999999999998,1866,82.90000000000002,13.199999999999996,3.9,0.0,15.6,3,14,3,60.0,5.0,35.0,8.0
62,1,36005012101,3057,27813.0,4935.0,11175.0,1384.0,43.1,48.5,14.2,35.7,25.5,9.8,14.8,2.7,46.4,1259,80.5,16.9,2.5,0.0,10.6,1,3,0,40.0,2.0,25.0,5.0
63,1,36005012102,1835,20028.0,4672.0,8603.0,1677.0,49.6,61.0,11.0,37.1,32.2,6.3,13.5,0.0,44.1,510,87.1,8.6,4.3,0.0,17.7,0,1,1,20.0,1.0,14.0,2.0
64,1,36005012300,4379,21300.0,9643.0,15115.0,5578.0,45.10000000000001,59.5,22.800000000000004,31.4,29.9,8.6,7.200000000000001,4.5,43.3,1520,93.5,4.5,2.0,0.0,10.6,4,4,0,60.0,5.0,22.0,5.0
65,1,36005012500,4272,26348.0,2834.0,14459.0,2055.0,42.9,57.0,30.8,26.8,14.2,7.9,20.3,3.0,39.3,1421,74.5,14.1,9.7,1.7,13.5,3,1,0,20.0,1.0,11.0,2.0
66,1,36005012701,1992,18641.0,3928.0,11700.0,1884.0,49.4,59.9,17.4,34.3,27.3,8.8,12.2,0.5,39.7,656,83.4,14.8,1.8,0.0,9.0,0,4,1,40.0,4.0,30.0,6.0
67,1,36005012901,4017,18269.0,4443.0,9415.0,1262.0,48.899999999999984,54.100000000000016,6.700000000000002,49.600000000000016,30.4,6.9,6.299999999999998,5.799999999999998,43.399999999999984,995,88.60000000000002,10.2,1.1999999999999995,0.0,14.099999999999996,0,6,5,80.0,7.0,41.0,9.0
68,1,36005013000,1364,77917.0,19751.0,33654.0,5735.0,5.7,3.2,23.4,15.1,36.1,12.3,13.0,2.0,39.2,747,76.3,22.8,0.9,0.0,6.7,0,1,0,20.0,3.0,1.0,0.0
69,1,36005013100,4685,25271.0,7236.0,12742.0,1342.0,35.5,37.7,18.2,31.39999999999999,35.80000000000001,5.1,9.5,4.9,42.79999999999999,1686,80.5,9.2,10.3,0.0,11.5,6,8,2,40.0,3.0,24.0,3.0
70,1,36005013200,7426,96701.0,6298.0,38669.0,4873.0,7.0,15.8,38.5,23.6,25.2,5.9,6.9,0.0,41.4,3797,73.2,24.3,2.5,0.0,7.5,2,2,0,324.0,15.0,5.0,0.0
71,1,36005013300,7284,25282.0,8305.0,13793.0,1895.0,25.5,26.4,13.400000000000002,44.10000000000001,21.2,1.3,20.0,2.1,36.5,2479,72.7,13.599999999999998,13.8,0.0,15.0,3,4,1,40.0,2.0,23.0,2.0
72,1,36005013500,3908,23279.0,5337.0,14125.0,1761.0,40.2,55.89999999999999,16.5,43.5,16.8,7.200000000000001,16.0,1.6,41.6,1244,75.39999999999998,18.4,6.200000000000001,0.0,12.3,1,5,2,60.0,2.0,39.0,0.0
73,1,36005013800,2989,79773.0,16378.0,39479.0,5942.0,5.5,0.0,31.5,13.2,28.0,10.2,17.2,2.2,35.6,1420,72.7,22.2,5.1,0.0,7.9,0,1,0,442.0,13.0,12.0,0.0
74,1,36005014100,5355,32500.0,6835.0,20805.0,7504.0,26.199999999999992,31.600000000000005,21.2,37.0,24.5,4.200000000000001,13.099999999999996,2.0,43.8,2163,88.29999999999997,8.900000000000002,1.9,0.9000000000000002,13.099999999999996,4,9,0,60.0,8.0,60.0,0.0
75,1,36005014300,968,12000.0,5279.0,9332.0,1813.0,52.2,46.6,12.0,59.8,15.7,2.4,10.0,4.1,39.7,249,94.0,4.4,1.6,0.0,17.8,2,3,0,40.0,5.0,28.0,0.0
76,1,36005014400,6049,19418.0,3697.0,15457.0,2859.0,46.39999999999999,56.2,16.900000000000002,42.3,27.2,6.0,7.5,0.4,58.5,1789,74.0,24.6,1.5,0.0,19.7,1,7,2,80.0,11.0,11.0,0.0
