,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,restaurants,bar,park,subway_station,FELONY,MISDEMEANOR,VIOLATION,target
10,36005003100,1466.0,37250.0,12079.0,17043.0,2281.0,18.1,25.2,17.5,27.6,27.0,10.900000000000002,17.0,0.0,40.10000000000001,722.0,79.20000000000002,10.2,10.5,0.0,6.6,60.0,6.0,7.0,5.0,4,12,3,19
11,36005003300,3912.0,19923.0,2402.0,8555.0,1435.0,56.29999999999999,72.29999999999998,14.5,51.399999999999984,15.800000000000002,2.7,15.599999999999996,1.8000000000000005,42.5,1113.0,77.20000000000003,16.900000000000002,5.900000000000001,0.0,18.5,40.0,0.0,16.0,4.0,17,47,14,78
12,36005003500,3948.0,26541.0,7009.0,12300.0,1884.0,36.3,47.899999999999984,15.900000000000004,34.60000000000001,23.5,7.599999999999999,18.4,4.700000000000002,41.600000000000016,1360.0,83.20000000000003,13.400000000000004,3.399999999999999,0.0,11.8,60.0,3.0,16.0,7.0,15,40,10,65
13,36005003800,1193.0,37685.0,6696.0,19795.0,6558.0,31.300000000000004,45.0,35.7,31.9,17.599999999999994,3.2,11.599999999999998,1.1,41.3,476.0,71.8,27.1,1.1,0.0,13.099999999999998,20.0,1.0,3.0,0.0,0,9,3,12
14,36005003900,6614.0,25990.0,6323.0,14559.0,2790.0,30.199999999999992,35.70000000000001,9.300000000000004,43.79999999999998,12.699999999999998,10.199999999999996,24.0,4.799999999999998,42.899999999999984,2729.0,88.20000000000003,3.399999999999999,8.199999999999998,0.2999999999999999,9.300000000000004,40.0,5.0,26.0,3.0,80,136,26,242
15,36005004001,1419.0,48056.0,6057.0,22652.0,3344.0,16.599999999999998,28.6,18.1,17.900000000000006,42.7,9.5,11.8,0.0,47.399999999999984,602.0,81.89999999999998,16.900000000000002,1.1999999999999995,0.0,6.799999999999998,20.0,0.0,3.0,0.0,10,9,3,22
16,36005004100,6476.0,18636.0,3658.0,10877.0,4758.0,53.29999999999999,67.39999999999999,8.900000000000004,48.100000000000016,30.300000000000008,8.299999999999999,4.4,0.7999999999999999,43.5,1734.0,81.29999999999997,13.400000000000004,5.299999999999998,0.0,19.2,80.0,10.0,41.0,4.0,33,83,16,132
17,36005004200,7120.0,25741.0,7845.0,13846.0,1947.0,40.5,56.399999999999984,26.300000000000008,32.0,23.899999999999995,6.599999999999999,11.099999999999996,1.0,48.5,2094.0,71.79999999999997,24.199999999999992,3.399999999999999,0.5999999999999998,21.0,140.0,1.0,18.0,0.0,49,104,17,170
18,36005004300,6057.0,21448.0,3092.0,11828.0,1525.0,46.600000000000016,55.20000000000002,14.400000000000004,39.100000000000016,22.300000000000008,10.099999999999996,14.0,4.0,39.600000000000016,2026.0,76.79999999999997,12.199999999999998,11.0,0.0,15.599999999999996,60.0,6.0,23.0,3.0,50,120,16,186
19,36005004400,4754.0,22719.0,2899.0,12126.0,1669.0,34.800000000000004,46.600000000000016,16.300000000000004,30.399999999999995,38.2,4.1000000000000005,11.0,2.8000000000000003,43.2,1446.0,79.29999999999998,19.300000000000004,1.4,0.0,26.100000000000005,100.0,2.0,15.0,1.0,13,38,7,58
20,36005004600,1869.0,40950.0,10707.0,19260.0,4463.0,25.5,37.100000000000016,23.600000000000005,38.399999999999984,21.2,5.900000000000001,10.900000000000004,0.0,33.7,589.0,68.60000000000001,23.300000000000008,8.099999999999996,0.0,13.400000000000004,20.0,0.0,2.0,0.0,45,102,18,165
21,36005004800,3999.0,30301.0,4692.0,13968.0,2096.0,33.2,41.89999999999999,15.699999999999998,37.8,19.9,12.099999999999996,14.5,3.399999999999999,42.10000000000001,1577.0,84.0,8.099999999999998,8.0,0.0,14.0,40.0,3.0,2.0,4.0,27,41,7,75
22,36005005001,4885.0,27456.0,9296.0,15334.0,2365.0,34.39999999999999,50.2,12.3,36.899999999999984,24.5,15.599999999999996,10.599999999999996,3.2999999999999994,48.2,1919.0,78.0,16.300000000000004,3.100000000000001,2.600000000000001,14.5,20.0,2.0,2.0,2.0,19,37,14,70
23,36005005002,5650.0,28039.0,5380.0,12990.0,1906.0,45.600000000000016,60.70000000000002,5.4,43.399999999999984,19.800000000000004,18.5,12.900000000000004,3.2999999999999994,48.20000000000001,2647.0,93.29999999999997,2.1000000000000005,4.6000000000000005,0.0,13.300000000000002,20.0,3.0,1.0,2.0,16,27,7,50
24,36005005100,5653.0,18633.0,2086.0,10602.0,1444.0,49.4,70.10000000000001,15.5,52.899999999999984,17.300000000000008,6.400000000000001,7.900000000000005,0.5,43.600000000000016,1631.0,77.90000000000002,19.0,2.7000000000000006,0.4000000000000001,22.600000000000005,160.0,37.0,65.0,15.0,62,139,22,223
25,36005005200,2277.0,17756.0,3843.0,15123.0,4609.0,49.29999999999999,57.79999999999998,23.1,29.60000000000001,22.300000000000008,13.199999999999998,11.699999999999998,9.0,43.2,749.0,81.60000000000002,9.599999999999998,8.799999999999997,0.0,13.5,100.0,6.0,31.0,6.0,10,22,5,37
26,36005005300,3727.0,17719.0,4121.0,10031.0,1557.0,54.70000000000001,70.0,17.199999999999996,38.0,20.800000000000004,10.599999999999998,13.400000000000004,0.0,56.79999999999999,990.0,85.10000000000002,14.900000000000004,0.0,0.0,23.699999999999992,20.0,1.0,6.0,0.0,16,33,17,66
