,year,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FELONY,MISDEMEANOR,VIOLATION
0,2015,36005000200.0,5403,72034.0,13991.0,22180.0,2206.0,20.0,20.700000000000014,28.70000000000002,17.100000000000012,23.89999999999999,8.0,22.299999999999986,0.0,43.0,2308,80.80000000000005,16.2,2.9000000000000017,0.0,7.699999999999995,12.0,19.0,7
1,2015,36005000400.0,5915,74836.0,8407.0,27700.0,2449.0,13.20000000000001,23.59999999999999,32.20000000000003,23.40000000000001,24.900000000000013,9.0,10.5,2.099999999999998,45.0,2675,71.69999999999993,25.299999999999976,2.5,0.6000000000000006,9.5,16.0,38.0,4
2,2015,36005001600.0,5879,32312.0,6859.0,17526.0,2945.0,26.299999999999965,35.900000000000034,19.100000000000005,36.099999999999966,26.200000000000035,4.900000000000001,13.79999999999999,1.7000000000000015,38.79999999999999,2120,75.0,21.29999999999998,3.8000000000000043,0.0,8.699999999999994,16.0,36.0,7
3,2015,36005001900.0,2591,37936.0,3771.0,17986.0,2692.0,37.09999999999994,31.5,35.40000000000006,20.900000000000038,26.199999999999967,6.600000000000013,11.0,6.2000000000000055,45.399999999999984,1083,76.8000000000001,15.5,7.700000000000013,0.0,19.200000000000024,28.0,72.0,11
4,2015,36005002000.0,8516,18086.0,3694.0,12023.0,2346.0,53.199999999999896,67.69999999999986,14.5,41.09999999999997,16.700000000000028,7.100000000000013,20.599999999999962,0.0,46.0,2508,71.0,21.3,7.7000000000000135,0.0,17.200000000000028,28.0,66.0,18
5,2015,36005002300.0,4774,14479.0,1901.0,9781.0,1460.0,54.1999999999999,68.30000000000011,20.79999999999997,36.0,33.69999999999996,3.3999999999999995,6.100000000000009,4.100000000000004,42.69999999999993,1191,74.19999999999989,16.099999999999984,9.700000000000014,0.0,18.900000000000027,26.0,52.0,12
6,2015,36005002500.0,5355,17226.0,6097.0,11493.0,1714.0,50.5,62.39999999999999,15.900000000000004,36.59999999999995,24.200000000000035,8.600000000000014,14.700000000000024,2.6999999999999966,35.5,1691,85.1000000000001,8.299999999999995,6.1000000000000085,0.5,9.399999999999988,22.0,44.0,13
7,2015,36005002701.0,3016,20153.0,5229.0,10317.0,1573.0,52.59999999999995,64.90000000000006,19.899999999999995,35.90000000000004,25.799999999999976,4.900000000000002,13.5,1.5999999999999988,42.8,1102,86.89999999999998,8.5,4.5,0.0,15.200000000000017,14.0,37.0,6
8,2015,36005002702.0,4778,17147.0,7165.0,8911.0,1450.0,52.699999999999974,63.09999999999993,15.200000000000012,46.40000000000004,25.0,1.7000000000000015,11.60000000000001,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.60000000000001,12.0,34.0,9
9,2015,36005002800.0,5299,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.59999999999995,24.400000000000038,26.599999999999962,4.899999999999995,7.399999999999988,2.6999999999999966,47.30000000000007,2394,61.89999999999999,37.40000000000005,0.6000000000000009,0.0,12.799999999999981,25.0,47.0,7
10,2015,36005003100.0,1466,37250.0,12079.0,17043.0,2281.0,18.1,25.199999999999992,17.5,27.60000000000001,27.0,10.900000000000004,17.0,0.0,40.10000000000001,722,79.20000000000002,10.199999999999998,10.5,0.0,6.599999999999998,4.0,12.0,3
11,2015,36005003300.0,3912,19923.0,2402.0,8555.0,1435.0,56.300000000000075,72.3000000000001,14.5,51.40000000000007,15.799999999999976,2.6999999999999966,15.6,1.7999999999999992,42.5,1113,77.19999999999989,16.90000000000001,5.899999999999992,0.0,18.5,17.0,47.0,14
12,2015,36005003500.0,3948,26541.0,7009.0,12300.0,1884.0,36.3,47.90000000000007,15.899999999999983,34.59999999999996,23.5,7.600000000000008,18.4,4.699999999999995,41.59999999999995,1360,83.1999999999999,13.399999999999983,3.4000000000000035,0.0,11.79999999999999,15.0,40.0,10
13,2015,36005003800.0,1193,37685.0,6696.0,19795.0,6558.0,31.300000000000008,45.0,35.7,31.899999999999995,17.599999999999994,3.2,11.599999999999996,1.1,41.3,476,71.79999999999998,27.100000000000005,1.1,0.0,13.099999999999996,0.0,9.0,3
14,2015,36005003900.0,6614,25990.0,6323.0,14559.0,2790.0,30.199999999999882,35.699999999999925,9.299999999999986,43.79999999999993,12.699999999999962,10.199999999999994,24.0,4.7999999999999785,42.899999999999814,2729,88.2000000000004,3.3999999999999857,8.200000000000031,0.2999999999999986,9.299999999999986,80.0,136.0,26
15,2015,36005004001.0,1419,48056.0,6057.0,22652.0,3344.0,16.600000000000005,28.60000000000001,18.100000000000005,17.899999999999995,42.700000000000024,9.5,11.800000000000004,0.0,47.399999999999984,602,81.90000000000003,16.899999999999995,1.1999999999999995,0.0,6.8,10.0,9.0,3
16,2015,36005004100.0,6476,18636.0,3658.0,10877.0,4758.0,53.30000000000012,67.39999999999985,8.899999999999997,48.100000000000094,30.30000000000007,8.299999999999981,4.399999999999991,0.7999999999999982,43.5,1734,81.29999999999994,13.400000000000027,5.299999999999994,0.0,19.19999999999999,33.0,83.0,16
17,2015,36005004200.0,7120,25741.0,7845.0,13846.0,1947.0,40.5,56.39999999999982,26.30000000000009,32.0,23.900000000000066,6.6000000000000085,11.099999999999966,1.0,48.5,2094,71.79999999999986,24.199999999999925,3.3999999999999893,0.5999999999999985,21.0,49.0,104.0,17
